Country	Region	Continent	GDP_per_capita	Social_support	Healthy_life_exp	Freedom_life_choices	Generosity	Perceptions_of_corruption	Residuals
Egypt	Middle_East_and_North_Africa	Africa	9.316541672	0.735447824	61.78015137	0.708354175	-0.196878314	0.787726879	1.158818245
Sierra_Leone	Sub-Saharan_Africa	Africa	7.26880312	0.636142015	50.86514282	0.715315044	0.088660747	0.861330688	2.046271801
Burundi	Sub-Saharan_Africa	Africa	6.492642403	0.490325719	53.40000153	0.626350224	-0.017551597	0.606934547	2.401507378
Zambia	Sub-Saharan_Africa	Africa	8.224720001	0.698824465	55.29937744	0.806500256	0.078037128	0.801289678	1.134339333
Haiti	Latin_America_and_Caribbean	Latin_America	7.411329269	0.593247831	55.59862518	0.537825167	0.40053457	0.684767246	1.619916916
Lesotho	Sub-Saharan_Africa	Africa	7.960488319	0.780495703	48.00362396	0.738125861	-0.145732045	0.857392073	1.445513964
India	South_Asia	Asia	8.849823952	0.592200935	60.21518707	0.881444871	0.057551607	0.772042692	0.734130859
Malawi	Sub-Saharan_Africa	Africa	7.062226295	0.544007301	57.59288788	0.803223193	0.021433279	0.731700778	1.552718282
Yemen	Middle_East_and_North_Africa	Africa	7.759682655	0.817980587	56.72728348	0.599920273	-0.157735437	0.800287724	1.116472721
Botswana	Sub-Saharan_Africa	Africa	9.711203575	0.779121757	58.92445374	0.821328104	-0.250394493	0.777930915	0.257240534
Tanzania	Sub-Saharan_Africa	Africa	7.967665195	0.688933194	57.49607468	0.82153976	0.109668687	0.619799435	0.718963385
Central_African_Republic	Sub-Saharan_Africa	Africa	6.625160217	0.319459856	45.20000076	0.640880644	0.082410358	0.891806662	2.860197544
Rwanda	Sub-Saharan_Africa	Africa	7.600104332	0.54083544	61.09884644	0.900589406	0.055483952	0.183541179	0.548444986
Zimbabwe	Sub-Saharan_Africa	Africa	7.865711689	0.763092756	55.61725998	0.711457908	-0.072063953	0.81023699	0.841031075
South_Sudan	Sub-Saharan_Africa	Africa	7.425359726	0.553707123	51	0.451313615	0.016518548	0.763417304	1.378751278
Afghanistan	South_Asia	Asia	7.462860584	0.470366955	52.59000015	0.396573007	-0.0964294	0.933686554	1.507235646
